empreendimento;ano;mes;ano_mes;produto;id_produto;safra;uf;municipio;cod_ibge;unidade_comercializacao;vlr_custo_variavel_ha;vlr_custo_variavel_unidade;vlr_custo_fixo_ha;vlr_custo_fixo_unidade;vlr_renda_fator_ha;vlr_renda_fator_unidade
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;BA;BARREIRAS-BA                                      ;2903201;15 kg   ;6221.64;59.99;624.87;5.78;1209.79;11.2
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;GO;CRISTALINA-GO                                     ;5206206;15 kg   ;5493.66;51.78;365.92;3.28;886.59;7.92
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;15 kg   ;5192.27;50.87;577.95;5.35;733.93;6.79
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;15 kg   ;6662.14;64.13;544.55;5.11;502.72;4.71
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;CAMPO VERDE-MT                                    ;5102678;15 kg   ;5802.43;60.04;661.74;6.63;506.21;5.07
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;RONDONÃ“POLIS-MT                                   ;5107602;15 kg   ;5918.04;57.66;593.08;5.56;489.69;4.59
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;15 kg   ;6876.83;70.65;680.0;6.8;622.57;6.23
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;AMENDOIM                                ;4674;TODAS                                   ;SP;JABOTICABAL-SP                                    ;3524303;25 kg   ;4029.31;24.42;409.79;2.48;1077.59;6.53
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;AMENDOIM                                ;4674;TODAS                                   ;SP;TUPÃƒ-SP                                           ;3555000;25 kg   ;4067.02;23.92;739.65;4.35;530.61;3.12
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;4686;TODAS                                   ;MA;BALSAS-MA                                         ;2101400;60 kg   ;1441.85;36.03;418.98;10.47;318.61;7.96
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;4685;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;2211.92;36.86;477.26;7.97;472.98;7.88
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;4685;TODAS                                   ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;4488.58;33.67;373.66;2.8;256.22;1.93
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;CACHOEIRA DO SUL-RS                               ;4303004;50 kg   ;5289.25;36.78;674.95;4.7;794.72;5.52
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;PELOTAS-RS                                        ;4314407;50 kg   ;5573.07;35.48;441.2;2.82;563.16;3.59
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;SANTO ANTÃ”NIO DA PATRULHA-RS                      ;4317608;50 kg   ;5023.88;36.43;603.15;4.37;715.45;5.18
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;ARROZ                                   ;11159;TODAS                                   ;RS;URUGUAIANA-RS                                     ;4322400;50 kg   ;5452.58;34.13;425.82;2.66;768.38;4.8
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;AVEIA                                   ;11184;TODAS                                   ;RS;PASSO FUNDO-RS                                    ;4314100;60 kg   ;1196.8;29.91;250.79;6.27;629.85;15.74
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;CANOLA                                  ;4723;TODAS                                   ;RS;SÃƒO LUIZ GONZAGA-RS                               ;4318903;60 kg   ;1254.41;50.15;438.56;17.54;415.26;16.62
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;CEVADA                                  ;11316;TODAS                                   ;PR;PONTA GROSSA-PR                                   ;4119905;60 kg   ;2126.87;30.4;499.67;7.14;819.2;11.7
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;CEVADA                                  ;11185;TODAS                                   ;RS;PASSO FUNDO-RS                                    ;4314100;60 kg   ;1356.27;30.16;282.78;6.28;652.85;14.51
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;FEIJAO CAUPI                            ;8629;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;1076.51;59.79;122.57;6.81;390.71;21.71
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;GO;CRISTALINA-GO                                     ;5206206;60 kg   ;3362.37;84.09;499.28;12.49;644.77;16.12
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;4511.055;94.08;375.77;7.43;609.18;12.495
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;PR;PONTA GROSSA-PR                                   ;4119905;60 kg   ;2718.25;81.58;350.06;10.5;698.11;20.95
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;SP;TAQUARITUBA-SP                                    ;3553807;60 kg   ;4565.34;99.58;1076.76;23.5;1353.94;29.54
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;GIRASSOL                                ;4738;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;60 kg   ;1231.44;41.07;158.78;5.28;330.63;11.02
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;GIRASSOL                                ;4738;TODAS                                   ;RS;SÃƒO LUIZ GONZAGA-RS                               ;4318903;60 kg   ;1216.36;46.76;349.88;13.46;414.2;15.93
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;BA;BARREIRAS-BA                                      ;2903201;60 kg   ;2680.29;19.12;277.12;1.98;1011.12;7.22
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;GO;RIO VERDE-GO                                      ;5218805;60 kg   ;2285.11;26.87;173.93;2.05;387.62;4.56
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;MA;BALSAS-MA                                         ;2101400;60 kg   ;2507.96;20.92;206.28;1.71;305.73;2.54
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;3263.24;21.78;393.13;2.61;813.73;5.42
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;2572.42;27.07;348.86;3.68;464.76;4.89
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;60 kg   ;2607.67;16.32;311.29;1.94;585.77;3.66
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;60 kg   ;1918.42;17.44;253.05;2.3;583.73;5.31
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;60 kg   ;1877.08;18.77;180.66;1.82;358.4;3.58
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;MT;CAMPO VERDE-MT                                    ;5102678;60 kg   ;1969.76;19.73;297.68;2.97;413.38;4.14
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;MT;PRIMAVERA DO LESTE-MT                             ;5107040;60 kg   ;1956.98;19.59;235.43;2.35;372.8;3.73
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;MT;SORRISO-MT                                        ;5107925;60 kg   ;1524.4;16.95;162.88;1.81;393.05;4.37
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;PR;CAMPO MOURÃƒO-PR                                   ;4104303;60 kg   ;2671.12;18.81;323.3;2.28;839.97;5.93
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;PR;CAMPO MOURÃƒO-PR                                   ;4104303;60 kg   ;1539.75;20.53;250.39;3.34;1013.8;13.52
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;PR;LONDRINA-PR                                       ;4113700;60 kg   ;3058.74;22.94;455.34;3.42;1231.96;9.24
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;PR;LONDRINA-PR                                       ;4113700;60 kg   ;2052.76;23.66;264.45;3.06;1181.3;13.63
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;PR;UBIRATÃƒ-PR                                        ;4128005;60 kg   ;1660.58;17.44;202.45;2.13;941.94;9.91
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;RO;VILHENA-RO                                        ;1100304;60 kg   ;1576.6;21.02;96.54;1.28;141.24;1.88
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;3225.46;32.21;199.55;1.99;153.74;1.54
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;RS;PASSO FUNDO-RS                                    ;4314100;60 kg   ;2331.605;23.36;323.955;3.395;645.68;6.57
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;1Âª SAFRA                                ;RS;SANTO Ã‚NGELO-RS                                   ;4317509;60 kg   ;2118.455;21.095;288.48;2.85;559.885;5.72
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;MILHO                                   ;4742;2Âª SAFRA                                ;TO;PEDRO AFONSO-TO                                   ;1716505;60 kg   ;1635.64;18.18;127.09;1.41;258.84;2.87
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;RAIZ DE MANDIOCA                        ;14214;TODAS                                   ;PR;MARECHAL CÃ‚NDIDO RONDON-PR                        ;4114609;t       ;5866.28;192.92;666.47;23.41;1493.03;52.55
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;BA;BARREIRAS-BA                                      ;2903201;60 kg   ;1787.31;35.72;261.48;5.22;1014.73;20.29
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;DF;BRASÃLIA-DF                                       ;5300108;60 kg   ;2727.68;45.49;634.49;10.58;635.36;10.59
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;GO;CRISTALINA-GO                                     ;5206206;60 kg   ;2189.58;41.68;316.95;6.04;583.39;11.12
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;GO;RIO VERDE-GO                                      ;5218805;60 kg   ;2019.8;36.76;149.55;2.72;372.91;6.78
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;MA;BALSAS-MA                                         ;2101400;60 kg   ;1832.55;35.25;526.08;10.12;312.7;6.02
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;2149.15;41.29;357.2;6.87;470.32;9.05
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;60 kg   ;1970.67;38.17;347.44;6.72;600.59;11.62
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;60 kg   ;2068.905;39.795;198.92;3.825;352.505;6.785
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;MT;PRIMAVERA DO LESTE-MT                             ;5107040;60 kg   ;2507.56;46.5;241.895;4.48;373.17;6.91
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;2060.67;39.305;201.045;3.835;136.92;2.61
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;PR;CAMPO MOURÃƒO-PR                                   ;4104303;60 kg   ;1324.15;26.5;332.18;6.65;554.25;11.09
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;PR;LONDRINA-PR                                       ;4113700;60 kg   ;2470.505;41.775;442.435;7.485;1231.05;20.81
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;2144.95;42.94;1459.64;29.19;229.78;4.59
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;RS;CRUZ ALTA-RS                                      ;4306106;60 kg   ;1757.0;39.06;251.97;5.6;742.5;16.5
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;RS;SÃƒO LUIZ GONZAGA-RS                               ;4318903;60 kg   ;1363.74;37.21;322.19;8.78;366.04;9.99
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SOJA                                    ;4744;TODAS                                   ;TO;PEDRO AFONSO-TO                                   ;1716505;60 kg   ;2179.41;42.2;284.28;5.51;284.51;5.51
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SORGO GRANIFERO                         ;4745;TODAS                                   ;GO;RIO VERDE-GO                                      ;5218805;60 kg   ;993.99;17.05;128.74;2.21;367.16;6.29
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SORGO GRANIFERO                         ;4745;TODAS                                   ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;1120.77;19.2;228.47;3.92;411.68;7.06
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SORGO GRANIFERO                         ;4745;TODAS                                   ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;60 kg   ;816.97;12.58;347.55;5.36;483.25;7.43
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SORGO GRANIFERO                         ;4745;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;60 kg   ;955.54;13.68;203.39;2.91;345.58;4.94
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;SORGO GRANIFERO                         ;4745;TODAS                                   ;TO;PEDRO AFONSO-TO                                   ;1716505;60 kg   ;571.41;17.58;124.82;3.83;253.96;7.81
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11238;TODAS                                   ;DF;BRASÃLIA-DF                                       ;5300108;60 kg   ;4503.85;45.04;786.88;7.88;1011.05;10.11
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;MG;SÃƒO GOTARDO-MG                                    ;3162104;60 kg   ;3539.49;41.63;770.06;9.05;2184.96;25.71
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;MS;LAGUNA CARAPÃƒ-MS                                  ;5005251;60 kg   ;1309.25;34.15;141.88;3.7;529.77;13.82
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;PR;CASCAVEL-PR                                       ;4104808;60 kg   ;1675.15;35.86;457.04;9.8;1155.06;24.75
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;PR;LONDRINA-PR                                       ;4113700;60 kg   ;1819.68;42.04;256.82;5.92;1202.92;27.76
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;PR;UBIRATÃƒ-PR                                        ;4128005;60 kg   ;1390.41;33.39;278.49;6.68;936.19;22.47
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;RS;CRUZ ALTA-RS                                      ;4306106;60 kg   ;1735.24;35.91;384.23;7.94;750.53;15.53
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRIGO                                   ;11153;TODAS                                   ;RS;PASSO FUNDO-RS                                    ;4314100;60 kg   ;1713.85;35.47;321.13;6.64;672.28;13.91
AGRICULTURA EMPRESARIAL                 ;2018;1;201801;TRITICALE                               ;11315;TODAS                                   ;PR;PONTA GROSSA-PR                                   ;4119905;60 kg   ;823.73;19.77;323.44;7.77;761.5;18.28
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;BA;BARREIRAS-BA                                      ;2903201;15 kg   ;6463.31;61.86;626.13;5.8;1262.87;11.69
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;GO;CRISTALINA-GO                                     ;5206206;15 kg   ;5637.11;53.02;365.92;3.28;925.48;8.26
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;15 kg   ;5126.83;50.46;583.17;5.4;766.15;7.1
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;15 kg   ;7059.1;67.76;544.55;5.11;524.77;4.92
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;CAMPO VERDE-MT                                    ;5102678;15 kg   ;6193.34;63.79;665.74;6.67;528.42;5.28
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;RONDONÃ“POLIS-MT                                   ;5107602;15 kg   ;6127.87;59.59;593.08;5.56;511.17;4.8
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ALGODAO EM PLUMA                        ;11182;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;15 kg   ;7304.02;74.95;684.73;6.85;649.89;6.5
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;AMENDOIM                                ;4674;TODAS                                   ;SP;JABOTICABAL-SP                                    ;3524303;25 kg   ;4051.14;24.55;409.79;2.48;1124.87;6.82
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;AMENDOIM                                ;4674;TODAS                                   ;SP;TUPÃƒ-SP                                           ;3555000;25 kg   ;4117.33;24.21;819.41;4.82;398.98;2.35
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;4686;TODAS                                   ;MA;BALSAS-MA                                         ;2101400;60 kg   ;1461.96;36.54;418.98;10.47;332.59;8.32
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;4685;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;2250.63;37.51;481.2;8.03;493.73;8.23
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;4685;TODAS                                   ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;4497.68;33.745;373.66;2.8;267.46;2.01
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;11159;TODAS                                   ;RS;CACHOEIRA DO SUL-RS                               ;4303004;50 kg   ;5370.55;37.3;675.36;4.7;829.76;5.76
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;11159;TODAS                                   ;RS;PELOTAS-RS                                        ;4314407;50 kg   ;5765.43;36.72;441.45;2.82;588.15;3.75
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;11159;TODAS                                   ;RS;SANTO ANTÃ”NIO DA PATRULHA-RS                      ;4317608;50 kg   ;5093.57;36.93;603.42;4.37;747.05;5.41
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;ARROZ                                   ;11159;TODAS                                   ;RS;URUGUAIANA-RS                                     ;4322400;50 kg   ;5623.45;35.13;425.97;2.66;802.27;5.01
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;AVEIA                                   ;11184;TODAS                                   ;RS;PASSO FUNDO-RS                                    ;4314100;60 kg   ;1225.48;30.63;251.05;6.29;656.82;16.42
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;CAFE                                    ;7498;TODAS                                   ;ES;VENDA NOVA DO IMIGRANTE-ES                        ;3205069;60 kg   ;10501.4;350.02;814.59;27.15;631.22;21.05
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;CANOLA                                  ;4723;TODAS                                   ;RS;SÃƒO LUIZ GONZAGA-RS                               ;4318903;60 kg   ;1260.67;50.41;439.05;17.55;433.6;17.35
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;CEVADA                                  ;11316;TODAS                                   ;PR;PONTA GROSSA-PR                                   ;4119905;60 kg   ;2314.03;33.09;505.63;7.22;854.97;12.22
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;CEVADA                                  ;11185;TODAS                                   ;RS;PASSO FUNDO-RS                                    ;4314100;60 kg   ;1390.69;30.89;283.53;6.3;680.63;15.12
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;FEIJAO CAUPI                            ;8629;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;1089.79;60.55;122.57;6.81;407.85;22.66
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;GO;CRISTALINA-GO                                     ;5206206;60 kg   ;3479.57;87.03;499.28;12.49;673.05;16.83
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;4208.5966666666666667;92.6666666666666667;313.9466666666666667;6.5266666666666667;571.6066666666666667;12.38
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;PR;PONTA GROSSA-PR                                   ;4119905;60 kg   ;2766.4;83.01;413.68;12.41;728.74;21.86
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;FEIJAO COMUM CORES                      ;8778;TODAS                                   ;SP;TAQUARITUBA-SP                                    ;3553807;60 kg   ;4403.06;96.08;1625.78;35.48;1510.69;32.96
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;GIRASSOL                                ;4738;TODAS                                   ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;60 kg   ;1237.76;41.27;158.78;5.28;345.13;11.51
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;GIRASSOL                                ;4738;TODAS                                   ;RS;SÃƒO LUIZ GONZAGA-RS                               ;4318903;60 kg   ;1246.44;47.92;350.37;13.48;432.49;16.64
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;BA;BARREIRAS-BA                                      ;2903201;60 kg   ;2738.55;19.55;278.41;1.99;1055.75;7.54
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;GO;RIO VERDE-GO                                      ;5218805;60 kg   ;2323.75;27.34;173.55;2.05;414.61;4.88
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;MA;BALSAS-MA                                         ;2101400;60 kg   ;2548.9;21.26;206.28;1.71;319.14;2.66
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;3301.15;22.02;399.21;2.65;847.51;5.65
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;MG;UNAÃ-MG                                           ;3170404;60 kg   ;2595.26;27.34;351.7;3.71;483.07;5.08
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;60 kg   ;2685.29;16.83;313.06;1.96;611.47;3.83
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;MS;CHAPADÃƒO DO SUL-MS                                ;5002951;60 kg   ;1965.53;17.87;254.82;2.32;609.34;5.54
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;MT;CAMPO NOVO DO PARECIS-MT                          ;5102637;60 kg   ;1889.21;18.91;180.66;1.82;374.12;3.74
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;MT;CAMPO VERDE-MT                                    ;5102678;60 kg   ;1998.39;20.0;299.36;2.99;431.52;4.31
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;MT;PRIMAVERA DO LESTE-MT                             ;5107040;60 kg   ;1967.59;19.71;236.22;2.35;389.22;3.89
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;MT;SORRISO-MT                                        ;5107925;60 kg   ;1579.27;17.57;163.62;1.82;410.3;4.55
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;PR;CAMPO MOURÃƒO-PR                                   ;4104303;60 kg   ;2682.34;18.91;323.48;2.28;876.82;6.19
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;PR;CAMPO MOURÃƒO-PR                                   ;4104303;60 kg   ;1554.64;20.75;250.39;3.34;1058.28;14.11
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;PR;LONDRINA-PR                                       ;4113700;60 kg   ;3137.72;23.52;459.66;3.44;1287.56;9.65
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;PR;LONDRINA-PR                                       ;4113700;60 kg   ;2100.08;24.2;268.36;3.1;1234.49;14.25
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;PR;UBIRATÃƒ-PR                                        ;4128005;60 kg   ;1745.52;18.35;203.46;2.14;1246.19;13.12
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;2Âª SAFRA                                ;RO;VILHENA-RO                                        ;1100304;60 kg   ;1609.7;21.44;96.54;1.28;147.44;1.97
AGRICULTURA EMPRESARIAL                 ;2018;3;201803;MILHO                                   ;4742;1Âª SAFRA                                ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;3238.18;32.335;199.55;1.99;160.49;1.61
