ano_agricola;dsc_safra_previsao;uf;produto;id_produto;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
1976/77             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;99.3;6;0.1
1976/77             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;123.4;7;0.1
1976/77             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1296;70;0.1
1976/77             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;73.1;28.2;0.4
1976/77             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;44.4;2;0
1976/77             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;116.2;30.9;0.3
1976/77             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;68.4;15.7;0.2
1976/77             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;666.7;35;0.1
1976/77             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;300.9;25;0.1
1976/77             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;141.2;4;0
1976/77             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;290.4;137.9;0.5
1976/77             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;559.9;30;0.1
1976/77             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;15.9;1;0.1
1976/77             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;300.1;194.2;0.6
1977/78             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;62.8;5.3;0.1
1977/78             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;130.2;12;0.1
1977/78             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1294;79.6;0.1
1977/78             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;66;20.8;0.3
1977/78             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;47.1;2.7;0.1
1977/78             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;121.3;31.6;0.3
1977/78             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;45.6;17;0.4
1977/78             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;566.8;30;0.1
1977/78             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;278.8;18;0.1
1977/78             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;127;6.5;0.1
1977/78             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;290;100.8;0.3
1977/78             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;552.2;26;0
1977/78             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;16;1;0.1
1977/78             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;328;135.1;0.4
1978/79             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;72.9;5.2;0.1
1978/79             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;85.8;12;0.1
1978/79             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1256.8;54.3;0
1978/79             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;35.1;17.5;0.5
1978/79             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;51.1;3.6;0.1
1978/79             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;99.3;21.9;0.2
1978/79             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;45.8;21.9;0.5
1978/79             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586;5.2;1.2;0.2
1978/79             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;600;25;0
1978/79             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;245.3;16.5;0.1
1978/79             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;156.6;6.9;0
1978/79             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;286;169.8;0.6
1978/79             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;389.4;14;0
1978/79             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;20.4;1.5;0.1
1978/79             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;273.9;172.3;0.6
1979/80             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;81;4;0
1979/80             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;76;14.3;0.2
1979/80             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1365;55;0
1979/80             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;31.4;18.7;0.6
1979/80             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;52;3;0.1
1979/80             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;90;19.2;0.2
1979/80             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;44.4;22.5;0.5
1979/80             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586;4.4;1.4;0.3
1979/80             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;638;26.5;0
1979/80             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;271;14;0.1
1979/80             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;165;6;0
1979/80             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;336.7;200.9;0.6
1979/80             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;617;12.5;0
1979/80             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;15;0.7;0
1979/80             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;284;178.7;0.6
1980/81             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;91;5.4;0.1
1980/81             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;82.5;16.2;0.2
1980/81             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1436;32;0
1980/81             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;38;25;0.7
1980/81             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;59.8;4.3;0.1
1980/81             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;103;28.7;0.3
1980/81             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;47;19.6;0.4
1980/81             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586;6.6;1.4;0.2
1980/81             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;727;22.3;0
1980/81             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;309;9.6;0
1980/81             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;173;5.2;0
1980/81             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;305.8;208;0.7
1980/81             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;440;13.3;0
1980/81             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;15;1.5;0.1
1980/81             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;303;201.9;0.7
1981/82             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;86.5;7.8;0.1
1981/82             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;58;17.3;0.3
1981/82             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1208.8;63;0.1
1981/82             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;39;22;0.6
1981/82             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;53.6;3.5;0.1
1981/82             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;95.8;28;0.3
1981/82             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;41.8;21.5;0.5
1981/82             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586;4.9;1.8;0.4
1981/82             ;UNICA          ;PA;ALGODAO EM PLUMA                        ;4586;10.2;1.8;0.2
1981/82             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;660;23;0
1981/82             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;200;6.1;0
1981/82             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;200;6.2;0
1981/82             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;373;264.5;0.7
1981/82             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;440;17.4;0
1981/82             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;37;2;0.1
1981/82             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;318;194.6;0.6
1982/83             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;80.2;4.8;0.1
1982/83             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;62.5;18.6;0.3
1982/83             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;1147.6;20;0
1982/83             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;37.4;28;0.7
1982/83             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;32;2.4;0.1
1982/83             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;85.3;38.5;0.5
1982/83             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;43.5;21.5;0.5
1982/83             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586;4;1.5;0.4
1982/83             ;UNICA          ;PA;ALGODAO EM PLUMA                        ;4586;12.6;2.5;0.2
1982/83             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;560.8;12.1;0
1982/83             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;162;5;0
1982/83             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;194;2.6;0
1982/83             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;443.4;254.4;0.6
1982/83             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;427.4;4.1;0
1982/83             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;18.5;1;0.1
1982/83             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586;313.5;169.3;0.5
1983/84             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586;68.5;6.2;0.1
1983/84             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586;105;22.8;0.2
1983/84             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586;795;76.1;0.1
1983/84             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586;47;32.8;0.7
1983/84             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586;42;2.8;0.1
1983/84             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586;110;28.1;0.3
1983/84             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586;34.8;20.6;0.6
1983/84             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586;7;3.4;0.5
1983/84             ;UNICA          ;PA;ALGODAO EM PLUMA                        ;4586;15;3;0.2
1983/84             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586;530;34.5;0.1
1983/84             ;UNICA          ;PE;ALGODAO EM PLUMA                        ;4586;130;12;0.1
1983/84             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586;183;10;0.1
1983/84             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586;332.5;216.1;0.6
1983/84             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586;440;22;0
1983/84             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586;23.5;1.8;0.1
